petases_1.0_minp0.00_0_23	IsPETase	41.700	251	0.707	0.935	8.397E-61	188
petases_1.0_minp0.05_2_53	IsPETase	62.200	262	0.868	0.973	1.017E-115	329
petases_0.9_minp0.00_3_66	IsPETase	48.000	256	0.810	0.939	3.010E-75	225
petases_0.9_minp0.00_3_92	IsPETase	60.400	266	0.858	0.989	6.740E-108	309
petases_1.0_minp0.00_0_91	IsPETase	52.900	249	0.836	0.920	5.559E-85	249
petases_1.0_minp0.00_0_11	IsPETase	48.300	263	0.868	0.973	3.328E-85	250
SRR15458308_127373	IsPETase	41.600	256	0.762	0.939	9.281E-64	196
petases_0.9_minp0.00_3_30	IsPETase	57.000	261	0.853	0.970	5.313E-98	283
SRR25158249_220564	IsPETase	38.400	247	0.648	0.935	1.321E-56	178
SRR15371989_72478_R169	IsPETase	58.000	255	0.567	0.962	6.014E-104	304
petases_1.0_minp0.00_0_42	IsPETase	57.200	242	0.778	0.916	4.342E-94	273
petases_1.1_minp0.05_4_28	IsPETase	59.500	261	0.879	0.970	8.055E-108	308
petases_1.0_minp0.05_2_13	IsPETase	84.700	267	0.884	0.996	5.058E-165	455
petases_1.0_minp0.00_0_10	IsPETase	52.500	276	0.562	0.954	9.398E-93	277
FastPETase	IsPETase	99.200	263	1.000	1.000	1.151E-190	518
petases_1.0_minp0.00_0_93	IsPETase	67.400	255	0.551	0.958	4.601E-111	323
petases_1.1_minp0.05_4_73	IsPETase	48.200	257	0.756	0.939	3.186E-78	233
petases_0.9_minp0.00_3_79	IsPETase	65.000	258	0.869	0.970	2.006E-116	330
petases_0.9_minp0.05_5_47	IsPETase	56.500	251	0.884	0.951	1.732E-91	265
SRR11659431_25115	IsPETase	38.500	262	0.650	0.970	2.998E-57	181
petases_1.0_minp0.00_0_0	IsPETase	34.700	226	0.751	0.859	3.564E-32	110
petases_1.1_minp0.05_4_92	IsPETase	47.400	227	0.748	0.863	1.759E-68	207
DRR056885_121	IsPETase	50.100	264	0.913	0.981	1.607E-84	248
HotPETase	IsPETase	93.100	263	1.000	1.000	1.581E-177	485
petases_1.0_minp0.00_0_8	IsPETase	66.200	255	0.551	0.962	3.110E-118	342
petases_1.0_minp0.00_0_13	IsPETase	67.200	246	0.547	0.935	4.467E-115	333
petases_1.1_minp0.05_4_5	IsPETase	63.900	261	0.823	0.970	1.314E-113	324
petases_1.0_minp0.00_0_67	IsPETase	60.700	263	0.874	0.981	2.327E-110	315
petases_1.0_minp0.00_0_20	IsPETase	53.900	268	0.890	0.996	7.175E-95	275
petases_1.0_minp0.00_0_38	IsPETase	40.000	261	0.801	0.970	1.102E-56	177
petases_1.1_minp0.05_4_79	IsPETase	54.300	251	0.848	0.943	4.988E-96	278
petases_1.1_minp0.05_4_29	IsPETase	68.800	250	0.548	0.935	4.556E-114	331
